timestamp,issue_type,severity,intersection_id,request_id,sequence_number,station_id,in_lane,out_lane,status,delay_seconds,message,source_summary,source_roles,source_files,merge_group_id,merge_confidence
2026-04-21T07:07:16.836383+00:00,TIMEOUT,error,68,125,49,42:ee:24:00:e8:b9,3,1,timeout,1.342,SREM ohne rechtzeitige SSEM-Antwort (1.34s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:17.995400+00:00,TIMEOUT,error,68,125,50,42:ee:24:d3:9c:b7,3,1,timeout,1.159,SREM ohne rechtzeitige SSEM-Antwort (1.16s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:20.733935+00:00,TIMEOUT,error,71,126,54,42:ee:24:d3:9c:b7,2,4,timeout,1.638,SREM ohne rechtzeitige SSEM-Antwort (1.64s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:20.733935+00:00,TIMEOUT,error,71,126,55,42:ee:24:d3:9c:b7,2,4,timeout,1.535,SREM ohne rechtzeitige SSEM-Antwort (1.54s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:20.733935+00:00,LATE_GRANTED,warning,71,126,53,42:ee:24:d3:9c:b7,2,4,granted,1.739,SSEM granted kam verspaetet (1.74s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap","RXA, TXA","rxa 1.pcap, txa 3.pcap",,
2026-04-21T07:07:21.728789+00:00,LATE_GRANTED,warning,71,126,55,42:ee:24:d3:9c:b7,2,4,granted,2.530,SSEM granted kam verspaetet (2.53s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap","RXA, TXA","rxa 1.pcap, txa 3.pcap",,
2026-04-21T07:07:22.224889+00:00,TIMEOUT,error,71,126,57,42:ee:24:d3:9c:b7,2,4,timeout,1.106,SREM ohne rechtzeitige SSEM-Antwort (1.11s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:23.725896+00:00,LATE_GRANTED,warning,71,126,57,42:ee:24:d3:9c:b7,2,4,granted,2.607,SSEM granted kam verspaetet (2.61s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap | merge-00509","RXA, TXA","rxa 1.pcap, txa 3.pcap",merge-00509,0.870
2026-04-21T07:07:24.226479+00:00,TIMEOUT,error,71,126,60,42:ee:24:d3:9c:b7,2,4,timeout,1.021,SREM ohne rechtzeitige SSEM-Antwort (1.02s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:25.733915+00:00,LATE_GRANTED,warning,71,126,60,42:ee:24:d3:9c:b7,2,4,granted,2.528,SSEM granted kam verspaetet (2.53s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap | merge-00522","RXA, TXA","rxa 1.pcap, txa 3.pcap",merge-00522,0.870
2026-04-21T07:07:26.232408+00:00,TIMEOUT,error,71,126,62,42:ee:24:d3:9c:b7,2,4,timeout,1.028,SREM ohne rechtzeitige SSEM-Antwort (1.03s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:26.405486+00:00,TIMEOUT,error,71,126,63,42:ee:24:00:e8:b9,2,4,timeout,1.097,SREM ohne rechtzeitige SSEM-Antwort (1.10s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:27.233150+00:00,TIMEOUT,error,71,126,64,42:ee:24:00:e8:b9,2,4,timeout,1.326,SREM ohne rechtzeitige SSEM-Antwort (1.33s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:27.732775+00:00,LATE_GRANTED,warning,71,126,63,42:ee:24:00:e8:b9,2,4,granted,2.424,SSEM granted kam verspaetet (2.42s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap | merge-00535","RXA, TXA","rxa 1.pcap, txa 3.pcap",merge-00535,0.870
2026-04-21T07:07:28.729358+00:00,TIMEOUT,error,71,126,65,42:ee:24:d3:9c:b7,2,4,timeout,1.474,SREM ohne rechtzeitige SSEM-Antwort (1.47s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:28.729358+00:00,LATE_GRANTED,warning,71,126,64,42:ee:24:00:e8:b9,2,4,granted,2.822,SSEM granted kam verspaetet (2.82s).,"RXA/TXA: rxa 1.pcap, txa 3.pcap | merge-00540","RXA, TXA","rxa 1.pcap, txa 3.pcap",merge-00540,0.870
2026-04-21T07:07:29.238891+00:00,TIMEOUT,error,71,126,66,42:ee:24:00:e8:b9,2,4,timeout,1.008,SREM ohne rechtzeitige SSEM-Antwort (1.01s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:30.045370+00:00,TIMEOUT,error,71,126,67,42:ee:24:00:e8:b9,2,4,timeout,1.139,SREM ohne rechtzeitige SSEM-Antwort (1.14s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:30.732029+00:00,TIMEOUT,error,71,126,68,42:ee:24:00:e8:b9,2,4,timeout,1.333,SREM ohne rechtzeitige SSEM-Antwort (1.33s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:31.741299+00:00,TIMEOUT,error,71,126,69,42:ee:24:d3:9c:b7,2,4,timeout,1.001,SREM ohne rechtzeitige SSEM-Antwort (1.00s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:33.984557+00:00,TIMEOUT,error,71,126,70,42:ee:24:d3:9c:b7,2,4,timeout,1.109,SREM ohne rechtzeitige SSEM-Antwort (1.11s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:34.993213+00:00,TIMEOUT,error,71,126,71,42:ee:24:00:e8:b9,2,4,timeout,1.006,SREM ohne rechtzeitige SSEM-Antwort (1.01s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:35.228644+00:00,TIMEOUT,error,71,126,73,42:ee:24:d3:9c:b7,2,4,timeout,1.021,SREM ohne rechtzeitige SSEM-Antwort (1.02s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:37.229497+00:00,TIMEOUT,error,71,126,76,42:ee:24:d3:9c:b7,2,4,timeout,1.015,SREM ohne rechtzeitige SSEM-Antwort (1.02s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:38.728486+00:00,TIMEOUT,error,71,126,77,42:ee:24:d3:9c:b7,2,4,timeout,1.045,SREM ohne rechtzeitige SSEM-Antwort (1.04s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:40.229120+00:00,TIMEOUT,error,70,127,79,42:ee:24:d3:9c:b7,2,4,timeout,1.310,SREM ohne rechtzeitige SSEM-Antwort (1.31s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:41.354885+00:00,LATE_GRANTED,warning,70,127,79,42:ee:24:d3:9c:b7,2,4,granted,2.436,SSEM granted kam verspaetet (2.44s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:08:16.230531+00:00,TIMEOUT,error,70,127,110,42:ee:24:d3:9c:b7,2,4,timeout,1.255,SREM ohne rechtzeitige SSEM-Antwort (1.25s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:08:16.230531+00:00,TIMEOUT,error,69,87,81,42:ee:24:d3:9c:b7,1,3,timeout,1.132,SREM ohne rechtzeitige SSEM-Antwort (1.13s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:08:16.734668+00:00,TIMEOUT,error,70,127,112,42:ee:24:d3:9c:b7,2,4,timeout,1.164,SREM ohne rechtzeitige SSEM-Antwort (1.16s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:08:17.366807+00:00,LATE_GRANTED,warning,70,127,110,42:ee:24:d3:9c:b7,2,4,granted,2.391,SSEM granted kam verspaetet (2.39s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
